ID    Species    Bill Len   Bill Dep   Flipper Len     Mass       Sex     
111   Adelie     45.6       0.0        191.0           191.0     MALE    
112   Adelie     39.7       0.0        193.0           193.0     FEMALE  
113   Adelie     42.2       0.0        197.0           197.0     MALE    
114   Adelie     39.6       0.0        191.0           191.0     FEMALE  
115   Adelie     42.7       0.0        196.0           196.0     MALE    
116   Adelie     38.6       0.0        188.0           188.0     FEMALE  
117   Adelie     37.3       0.0        199.0           199.0     MALE    
118   Adelie     35.7       0.0        189.0           189.0     FEMALE  
119   Adelie     41.1       0.0        189.0           189.0     MALE    
120   Adelie     36.2       0.0        187.0           187.0     FEMALE  
121   Adelie     37.7       0.0        198.0           198.0     MALE    
122   Adelie     40.2       0.0        176.0           176.0     FEMALE  
123   Adelie     41.4       0.0        202.0           202.0     MALE    
124   Adelie     35.2       0.0        186.0           186.0     FEMALE  
125   Adelie     40.6       0.0        199.0           199.0     MALE    
126   Adelie     38.8       0.0        191.0           191.0     FEMALE  
127   Adelie     41.5       0.0        195.0           195.0     MALE    
128   Adelie     39.0       0.0        191.0           191.0     FEMALE  
129   Adelie     44.1       0.0        210.0           210.0     MALE    
130   Adelie     38.5       0.0        190.0           190.0     FEMALE  
131   Adelie     43.1       0.0        197.0           197.0     MALE    
132   Adelie     36.8       0.0        193.0           193.0     FEMALE  
133   Adelie     37.5       0.0        199.0           199.0     MALE    
134   Adelie     38.1       0.0        187.0           187.0     FEMALE  
135   Adelie     41.1       0.0        190.0           190.0     MALE    
136   Adelie     35.6       0.0        191.0           191.0     FEMALE  
137   Adelie     40.2       0.0        200.0           200.0     MALE    
138   Adelie     37.0       0.0        185.0           185.0     FEMALE  
139   Adelie     39.7       0.0        193.0           193.0     MALE    
140   Adelie     40.2       0.0        193.0           193.0     FEMALE  
141   Adelie     40.6       0.0        187.0           187.0     MALE    
142   Adelie     32.1       0.0        188.0           188.0     FEMALE  
143   Adelie     40.7       0.0        190.0           190.0     MALE    
144   Adelie     37.3       0.0        192.0           192.0     FEMALE  
145   Adelie     39.0       0.0        185.0           185.0     MALE    
146   Adelie     39.2       0.0        190.0           190.0     MALE    
147   Adelie     36.6       0.0        184.0           184.0     FEMALE  
148   Adelie     36.0       0.0        195.0           195.0     FEMALE  
149   Adelie     37.8       0.0        193.0           193.0     MALE    
150   Adelie     36.0       0.0        187.0           187.0     FEMALE  
151   Adelie     41.5       0.0        201.0           201.0     MALE    
152   Chinstrap  46.5       0.0        192.0           192.0     FEMALE  
153   Chinstrap  50.0       0.0        196.0           196.0     MALE    
154   Chinstrap  51.3       0.0        193.0           193.0     MALE    
155   Chinstrap  45.4       0.0        188.0           188.0     FEMALE  
156   Chinstrap  52.7       0.0        197.0           197.0     MALE    
157   Chinstrap  45.2       0.0        198.0           198.0     FEMALE  
158   Chinstrap  46.1       0.0        178.0           178.0     FEMALE  
159   Chinstrap  51.3       0.0        197.0           197.0     MALE    
160   Chinstrap  46.0       0.0        195.0           195.0     FEMALE  
161   Chinstrap  51.3       0.0        198.0           198.0     MALE    
162   Chinstrap  46.6       0.0        193.0           193.0     FEMALE  
163   Chinstrap  51.7       0.0        194.0           194.0     MALE    
164   Chinstrap  47.0       0.0        185.0           185.0     FEMALE  
165   Chinstrap  52.0       0.0        201.0           201.0     MALE    
166   Chinstrap  45.9       0.0        190.0           190.0     FEMALE  
167   Chinstrap  50.5       0.0        201.0           201.0     MALE    
168   Chinstrap  50.3       0.0        197.0           197.0     MALE    
169   Chinstrap  58.0       0.0        181.0           181.0     FEMALE  
170   Chinstrap  46.4       0.0        190.0           190.0     FEMALE  
171   Chinstrap  49.2       0.0        195.0           195.0     MALE    
172   Chinstrap  42.4       0.0        181.0           181.0     FEMALE  
173   Chinstrap  48.5       0.0        191.0           191.0     MALE    
174   Chinstrap  43.2       0.0        187.0           187.0     FEMALE  
175   Chinstrap  50.6       0.0        193.0           193.0     MALE    
176   Chinstrap  46.7       0.0        195.0           195.0     FEMALE  
177   Chinstrap  52.0       0.0        197.0           197.0     MALE    
178   Chinstrap  50.5       0.0        200.0           200.0     FEMALE  
179   Chinstrap  49.5       0.0        200.0           200.0     MALE    
180   Chinstrap  46.4       0.0        191.0           191.0     FEMALE  
181   Chinstrap  52.8       0.0        205.0           205.0     MALE    
182   Chinstrap  40.9       0.0        187.0           187.0     FEMALE  
183   Chinstrap  54.2       0.0        201.0           201.0     MALE    
184   Chinstrap  42.5       0.0        187.0           187.0     FEMALE  
185   Chinstrap  51.0       0.0        203.0           203.0     MALE    
186   Chinstrap  49.7       0.0        195.0           195.0     MALE    
187   Chinstrap  47.5       0.0        199.0           199.0     FEMALE  
188   Chinstrap  47.6       0.0        195.0           195.0     FEMALE  
189   Chinstrap  52.0       0.0        210.0           210.0     MALE    
190   Chinstrap  46.9       0.0        192.0           192.0     FEMALE  
191   Chinstrap  53.5       0.0        205.0           205.0     MALE    
192   Chinstrap  49.0       0.0        210.0           210.0     MALE    
193   Chinstrap  46.2       0.0        187.0           187.0     FEMALE  
194   Chinstrap  50.9       0.0        196.0           196.0     MALE    
195   Chinstrap  45.5       0.0        196.0           196.0     FEMALE  
196   Chinstrap  50.9       0.0        196.0           196.0     FEMALE  
197   Chinstrap  50.8       0.0        201.0           201.0     MALE    
198   Chinstrap  50.1       0.0        190.0           190.0     FEMALE  
199   Chinstrap  49.0       0.0        212.0           212.0     MALE    
200   Chinstrap  51.5       0.0        187.0           187.0     MALE    
201   Chinstrap  49.8       0.0        198.0           198.0     FEMALE  
202   Chinstrap  48.1       0.0        199.0           199.0     FEMALE  
203   Chinstrap  51.4       0.0        201.0           201.0     MALE    
204   Chinstrap  45.7       0.0        193.0           193.0     FEMALE  
205   Chinstrap  50.7       0.0        203.0           203.0     MALE    
206   Chinstrap  42.5       0.0        187.0           187.0     FEMALE  
207   Chinstrap  52.2       0.0        197.0           197.0     MALE    
208   Chinstrap  45.2       0.0        191.0           191.0     FEMALE  
209   Chinstrap  49.3       0.0        203.0           203.0     MALE    
210   Chinstrap  50.2       0.0        202.0           202.0     MALE    
211   Chinstrap  45.6       0.0        194.0           194.0     FEMALE  
212   Chinstrap  51.9       0.0        206.0           206.0     MALE    
213   Chinstrap  46.8       0.0        189.0           189.0     FEMALE  
214   Chinstrap  45.7       0.0        195.0           195.0     FEMALE  
215   Chinstrap  55.8       0.0        207.0           207.0     MALE    
216   Chinstrap  43.5       0.0        202.0           202.0     FEMALE  
217   Chinstrap  49.6       0.0        193.0           193.0     MALE    
218   Chinstrap  50.8       0.0        210.0           210.0     MALE    
219   Chinstrap  50.2       0.0        198.0           198.0     FEMALE  
220   Gentoo     46.1       0.0        211.0           211.0     FEMALE  
221   Gentoo     50.0       0.0        230.0           230.0     MALE    
222   Gentoo     48.7       0.0        210.0           210.0     FEMALE  
223   Gentoo     50.0       0.0        218.0           218.0     MALE    
224   Gentoo     47.6       0.0        215.0           215.0     MALE    
225   Gentoo     46.5       0.0        210.0           210.0     FEMALE  
226   Gentoo     45.4       0.0        211.0           211.0     FEMALE  
227   Gentoo     46.7       0.0        219.0           219.0     MALE    
228   Gentoo     43.3       0.0        209.0           209.0     FEMALE  
229   Gentoo     46.8       0.0        215.0           215.0     MALE    
230   Gentoo     40.9       0.0        214.0           214.0     FEMALE  
231   Gentoo     49.0       0.0        216.0           216.0     MALE    
232   Gentoo     45.5       0.0        214.0           214.0     FEMALE  
233   Gentoo     48.4       0.0        213.0           213.0     MALE    
234   Gentoo     45.8       0.0        210.0           210.0     FEMALE  
235   Gentoo     49.3       0.0        217.0           217.0     MALE    
236   Gentoo     42.0       0.0        210.0           210.0     FEMALE  
237   Gentoo     49.2       0.0        221.0           221.0     MALE    
238   Gentoo     46.2       0.0        209.0           209.0     FEMALE  
239   Gentoo     48.7       0.0        222.0           222.0     MALE    
240   Gentoo     50.2       0.0        218.0           218.0     MALE    
241   Gentoo     45.1       0.0        215.0           215.0     FEMALE  
242   Gentoo     46.5       0.0        213.0           213.0     FEMALE  
243   Gentoo     46.3       0.0        215.0           215.0     MALE    
244   Gentoo     42.9       0.0        215.0           215.0     FEMALE  
245   Gentoo     46.1       0.0        215.0           215.0     MALE    
246   Gentoo     44.5       0.0        216.0           216.0     FEMALE  
247   Gentoo     47.8       0.0        215.0           215.0     MALE    
248   Gentoo     48.2       0.0        210.0           210.0     FEMALE  
249   Gentoo     50.0       0.0        220.0           220.0     MALE    
250   Gentoo     47.3       0.0        222.0           222.0     MALE    
251   Gentoo     42.8       0.0        209.0           209.0     FEMALE  
252   Gentoo     45.1       0.0        207.0           207.0     FEMALE  
253   Gentoo     59.6       0.0        230.0           230.0     MALE    
254   Gentoo     49.1       0.0        220.0           220.0     FEMALE  
255   Gentoo     48.4       0.0        220.0           220.0     MALE    
256   Gentoo     42.6       0.0        213.0           213.0     FEMALE  
257   Gentoo     44.4       0.0        219.0           219.0     MALE    
258   Gentoo     44.0       0.0        208.0           208.0     FEMALE  
259   Gentoo     48.7       0.0        208.0           208.0     MALE    
260   Gentoo     42.7       0.0        208.0           208.0     FEMALE  
261   Gentoo     49.6       0.0        225.0           225.0     MALE    
262   Gentoo     45.3       0.0        210.0           210.0     FEMALE  
263   Gentoo     49.6       0.0        216.0           216.0     MALE    
264   Gentoo     50.5       0.0        222.0           222.0     MALE    
265   Gentoo     43.6       0.0        217.0           217.0     FEMALE  
266   Gentoo     45.5       0.0        210.0           210.0     FEMALE  
267   Gentoo     50.5       0.0        225.0           225.0     MALE    
268   Gentoo     44.9       0.0        213.0           213.0     FEMALE  
269   Gentoo     45.2       0.0        215.0           215.0     MALE    
270   Gentoo     46.6       0.0        210.0           210.0     FEMALE  
271   Gentoo     48.5       0.0        220.0           220.0     MALE    
272   Gentoo     45.1       0.0        210.0           210.0     FEMALE  
273   Gentoo     50.1       0.0        225.0           225.0     MALE    
274   Gentoo     46.5       0.0        217.0           217.0     FEMALE  
275   Gentoo     45.0       0.0        220.0           220.0     MALE    
276   Gentoo     43.8       0.0        208.0           208.0     FEMALE  
277   Gentoo     45.5       0.0        220.0           220.0     MALE    
278   Gentoo     43.2       0.0        208.0           208.0     FEMALE  
279   Gentoo     50.4       0.0        224.0           224.0     MALE    
280   Gentoo     45.3       0.0        208.0           208.0     FEMALE  
281   Gentoo     46.2       0.0        221.0           221.0     MALE    
282   Gentoo     45.7       0.0        214.0           214.0     FEMALE  
283   Gentoo     54.3       0.0        231.0           231.0     MALE    
284   Gentoo     45.8       0.0        219.0           219.0     FEMALE  
285   Gentoo     49.8       0.0        230.0           230.0     MALE    
286   Gentoo     46.2       0.0        214.0           214.0     FEMALE  
287   Gentoo     49.5       0.0        229.0           229.0     MALE    
288   Gentoo     43.5       0.0        220.0           220.0     FEMALE  
289   Gentoo     50.7       0.0        223.0           223.0     MALE    
290   Gentoo     47.7       0.0        216.0           216.0     FEMALE  
291   Gentoo     46.4       0.0        221.0           221.0     MALE    
292   Gentoo     48.2       0.0        221.0           221.0     MALE    
293   Gentoo     46.5       0.0        217.0           217.0     FEMALE  
294   Gentoo     46.4       0.0        216.0           216.0     FEMALE  
295   Gentoo     48.6       0.0        230.0           230.0     MALE    
296   Gentoo     47.5       0.0        209.0           209.0     FEMALE  
297   Gentoo     51.1       0.0        220.0           220.0     MALE    
298   Gentoo     45.2       0.0        215.0           215.0     FEMALE  
299   Gentoo     45.2       0.0        223.0           223.0     MALE    
300   Gentoo     49.1       0.0        212.0           212.0     FEMALE  
301   Gentoo     52.5       0.0        221.0           221.0     MALE    
302   Gentoo     47.4       0.0        212.0           212.0     FEMALE  
303   Gentoo     50.0       0.0        224.0           224.0     MALE    
304   Gentoo     44.9       0.0        212.0           212.0     FEMALE  
305   Gentoo     50.8       0.0        228.0           228.0     MALE    
306   Gentoo     43.4       0.0        218.0           218.0     FEMALE  
307   Gentoo     51.3       0.0        218.0           218.0     MALE    
308   Gentoo     47.5       0.0        212.0           212.0     FEMALE  
309   Gentoo     52.1       0.0        230.0           230.0     MALE    
310   Gentoo     47.5       0.0        218.0           218.0     FEMALE  
311   Gentoo     52.2       0.0        228.0           228.0     MALE    
312   Gentoo     45.5       0.0        212.0           212.0     FEMALE  
313   Gentoo     49.5       0.0        224.0           224.0     MALE    
314   Gentoo     44.5       0.0        214.0           214.0     FEMALE  
315   Gentoo     50.8       0.0        226.0           226.0     MALE    
316   Gentoo     49.4       0.0        216.0           216.0     MALE    
317   Gentoo     46.9       0.0        222.0           222.0     FEMALE  
318   Gentoo     48.4       0.0        203.0           203.0     FEMALE  
319   Gentoo     51.1       0.0        225.0           225.0     MALE    
320   Gentoo     48.5       0.0        219.0           219.0     FEMALE  
321   Gentoo     55.9       0.0        228.0           228.0     MALE    
322   Gentoo     47.2       0.0        215.0           215.0     FEMALE  
323   Gentoo     49.1       0.0        228.0           228.0     MALE    
324   Gentoo     47.3       0.0        216.0           216.0     FEMALE  
325   Gentoo     46.8       0.0        215.0           215.0     MALE    
326   Gentoo     41.7       0.0        210.0           210.0     FEMALE  
327   Gentoo     53.4       0.0        219.0           219.0     MALE    
328   Gentoo     43.3       0.0        208.0           208.0     FEMALE  
329   Gentoo     48.1       0.0        209.0           209.0     MALE    
330   Gentoo     50.5       0.0        216.0           216.0     FEMALE  
331   Gentoo     49.8       0.0        229.0           229.0     MALE    
332   Gentoo     43.5       0.0        213.0           213.0     FEMALE  
333   Gentoo     51.5       0.0        230.0           230.0     MALE    
334   Gentoo     46.2       0.0        217.0           217.0     FEMALE  
335   Gentoo     55.1       0.0        230.0           230.0     MALE    
336   Gentoo     44.5       0.0        217.0           217.0     FEMALE  
337   Gentoo     48.8       0.0        222.0           222.0     MALE    
338   Gentoo     47.2       0.0        214.0           214.0     FEMALE  
339   Gentoo     46.8       0.0        215.0           215.0     FEMALE  
340   Gentoo     50.4       0.0        222.0           222.0     MALE    
341   Gentoo     45.2       0.0        212.0           212.0     FEMALE  
342   Gentoo     49.9       0.0        213.0           213.0     MALE    
